index,event_time,value,valueThreshold,isActive
657.0,1487533953.0,231,230,True
658.0,1487533956.0,231,230,True
659.0,1487533969.0,231,230,True
660.0,1487534131.0,231,230,True
661.0,1487535300.0,231,230,True
662.0,1487535316.0,231,230,True
663.0,1487535327.0,231,230,True
664.0,1487535332.0,231,230,True
665.0,1487535344.0,231,230,True
666.0,1487535347.0,231,230,True
667.0,1487535497.0,231,230,True
668.0,1487535590.0,231,230,True
669.0,1487535595.0,231,230,True
670.0,1487535596.0,231,230,True
671.0,1487535598.0,231,230,True
672.0,1487535604.0,231,230,True
673.0,1487535616.0,231,230,True
674.0,1487535628.0,231,230,True
675.0,1487536324.0,231,230,True
676.0,1487536956.0,231,230,True
677.0,1487536995.0,231,230,True
678.0,1487537000.0,231,230,True
679.0,1487537198.0,231,230,True
680.0,1487537482.0,231,230,True
681.0,1487537729.0,231,230,True
682.0,1487537819.0,231,230,True
683.0,1487537847.0,231,230,True
684.0,1487537851.0,231,230,True
685.0,1487537855.0,231,230,True
686.0,1487537968.0,231,230,True
687.0,1487537991.0,231,230,True
688.0,1487538237.0,231,230,True
689.0,1487539126.0,231,230,True
690.0,1487539129.0,231,230,True
691.0,1487539134.0,231,230,True
692.0,1487539150.0,231,230,True
693.0,1487539161.0,231,230,True
694.0,1487540509.0,231,230,True
695.0,1487540578.0,231,230,True
696.0,1487540699.0,231,230,True
697.0,1487540974.0,231,230,True
698.0,1487542868.0,231,230,True
699.0,1487543655.0,231,230,True
700.0,1487543707.0,231,230,True
701.0,1487543728.0,231,230,True
702.0,1487543741.0,231,230,True
703.0,1487543759.0,231,230,True
704.0,1487544190.0,231,230,True
705.0,1487544814.0,231,230,True
706.0,1487544817.0,231,230,True
707.0,1487544863.0,231,230,True
708.0,1487544877.0,231,230,True
709.0,1487544894.0,231,230,True
710.0,1487545877.0,231,230,True
711.0,1487545923.0,231,230,True
712.0,1487545927.0,231,230,True
713.0,1487545952.0,231,230,True
714.0,1487546068.0,231,230,True
715.0,1487546081.0,231,230,True
716.0,1487547398.0,231,230,True
717.0,1487547668.0,231,230,True
718.0,1487547933.0,231,230,True
719.0,1487548601.0,231,230,True
720.0,1487549000.0,231,230,True
721.0,1487549005.0,231,230,True
722.0,1487549081.0,231,230,True
723.0,1487549343.0,231,230,True
724.0,1487549393.0,231,230,True
725.0,1487549590.0,231,230,True
726.0,1487549592.0,231,230,True
727.0,1487549602.0,231,230,True
728.0,1487549684.0,231,230,True
729.0,1487549900.0,231,230,True
730.0,1487549925.0,231,230,True
731.0,1487549931.0,231,230,True
732.0,1487549932.0,231,230,True
733.0,1487549949.0,231,230,True
734.0,1487549951.0,231,230,True
735.0,1487550068.0,231,230,True
736.0,1487550089.0,231,230,True
737.0,1487550132.0,231,230,True
738.0,1487550176.0,231,230,True
739.0,1487550196.0,231,230,True
740.0,1487550336.0,231,230,True
741.0,1487550344.0,231,230,True
742.0,1487550346.0,231,230,True
743.0,1487550351.0,231,230,True
744.0,1487550353.0,231,230,True
745.0,1487550368.0,231,230,True
746.0,1487550392.0,231,230,True
747.0,1487550417.0,231,230,True
748.0,1487550432.0,231,230,True
749.0,1487550870.0,231,230,True
750.0,1487550994.0,231,230,True
751.0,1487550997.0,231,230,True
752.0,1487551001.0,231,230,True
753.0,1487551410.0,231,230,True
754.0,1487551415.0,231,230,True
755.0,1487551425.0,231,230,True
756.0,1487551947.0,231,230,True
757.0,1487552832.0,231,230,True
758.0,1487552843.0,231,230,True
759.0,1487552846.0,231,230,True
760.0,1487552852.0,231,230,True
761.0,1487552863.0,231,230,True
762.0,1487552866.0,231,230,True
763.0,1487552870.0,231,230,True
764.0,1487552889.0,231,230,True
765.0,1487553044.0,231,230,True
766.0,1487553090.0,231,230,True
767.0,1487553135.0,231,230,True
768.0,1487553185.0,231,230,True
769.0,1487553575.0,231,230,True
770.0,1487553783.0,231,230,True
771.0,1487553807.0,231,230,True
772.0,1487553828.0,231,230,True
773.0,1487553845.0,231,230,True
774.0,1487553940.0,231,230,True
775.0,1487553959.0,231,230,True
776.0,1487553962.0,231,230,True
777.0,1487553970.0,231,230,True
778.0,1487554018.0,231,230,True
779.0,1487554397.0,231,230,True
780.0,1487554601.0,231,230,True
781.0,1487554615.0,231,230,True
782.0,1487554656.0,231,230,True
783.0,1487554671.0,231,230,True
784.0,1487554701.0,231,230,True
785.0,1487554708.0,231,230,True
786.0,1487554815.0,231,230,True
787.0,1487554945.0,231,230,True
788.0,1487554986.0,231,230,True
789.0,1487554994.0,231,230,True
790.0,1487555161.0,231,230,True
791.0,1487555481.0,231,230,True
792.0,1487555757.0,231,230,True
793.0,1487555790.0,231,230,True
794.0,1487555830.0,231,230,True
795.0,1487555849.0,231,230,True
796.0,1487556049.0,231,230,True
797.0,1487556070.0,231,230,True
798.0,1487556089.0,231,230,True
